aname,bname
痢疾,胸部B超
痢疾,纤维结肠镜检查
痢疾,小肠镜检查
痢疾,粪便显微镜检查
痢疾,粪便脓液
痢疾,痢疾杆菌检测
肠易激综合征,血常规
肠易激综合征,造影检查
肠易激综合征,便常规
肠易激综合征,纤维结肠镜检查
肠易激综合征,胃肠道疾病的超声检查
肠易激综合征,胃肠道CT检查
肠痉挛,血常规
肠痉挛,大生化检查
肠痉挛,便常规
肠痉挛,腹部平片
肠痉挛,腹部MRI检查
脱水,心电图
脱水,唾液尿素氮
脱水,血清阳离子测定
脱水,尿量
脱水,尿总氮
脱水,尿浓缩试验
脱水,尿渗透压
脱水,唾液肌酐
脱水,phi(φ)小体染色
舌炎,尿常规
舌炎,尿维生素B2
舌炎,"尿维生素B2（VitB2,VB2）"
肠套叠,血管造影
肠套叠,腹部平片
肠套叠,纤维结肠镜检查
肠套叠,直肠指检
肠套叠,内镜检查
肠套叠,胃镜
肠套叠,纤维胃镜
腹部肿块,造影检查
腹部肿块,便常规
腹部肿块,体位
腹部肿块,肠镜
腹部肿块,腹部透视
腹部肿块,内镜检查
腹部肿块,胃镜
腹部肿块,腹腔镜
腹部肿块,妇科检查
急腹症,腹部CT
急腹症,腹部平片
急腹症,腹部MRI检查
急腹症,腹腔穿刺
腹膜炎,脉搏
腹膜炎,肠鸣音
腹膜炎,腹部叩诊
腹膜炎,腹腔穿刺
腹膜炎,腹部外形触诊
腹膜炎,剖腹探查
腹膜炎,胸腹水检查
腹膜炎,腹壁反射
腹膜炎,压痛及反跳痛
腹膜炎,浆膜腔积液病原体
吸收不良综合征,维生素B1
吸收不良综合征,肠镜
吸收不良综合征,内镜检查
吸收不良综合征,胃肠道疾病的超声检查
吸收不良综合征,胃肠道功能动力学检查
吸收不良综合征,叶酸
吸收不良综合征,呼气试验
吸收不良综合征,维生素B12
吸收不良综合征,血清磷脂
倾倒综合征,胃肠道CT检查
倾倒综合征,胃镜
倾倒综合征,胃粘膜活检
倾倒综合征,5-羟色胺
胆道运动功能障碍,"总胆红素（TBIL,STB）"
胆道运动功能障碍,直接胆红素/间接胆红素比值
胆道运动功能障碍,口服胆囊造影
胆道运动功能障碍,经皮经肝胆道造影术
胆道运动功能障碍,胆道运动功能检测
胆道运动功能障碍,逆行胰胆管造影（ERCP）
腹胀,便常规
腹胀,腹部平片
腹胀,胃钡餐造影
腹胀,腹部透视
腹胀,肠鸣音
腹胀,胃镜
腹胀,胆囊胆道B超检查
腹胀,胃基础胃酸分泌量测定（BAO）
蛔虫性肠梗阻,白细胞分类计数
蛔虫性肠梗阻,便常规
蛔虫性肠梗阻,腹部平片
蛔虫性肠梗阻,直接涂片检查
胆结石,肝、胆、胰、脾的MRI检查
胆结石,腹腔镜
胆结石,口服胆囊造影
胆结石,肝脏超声检查
胆结石,肝、胆、脾CT检查
胆结石,静脉胆道造影
胆结石,尿胆汁酸
胆结石,血清鸟氨酸氨基甲酰转移酶
胆结石,内视镜超音波术
胆结石,粪胆素
上消化道出血,血常规
上消化道出血,造影检查
上消化道出血,纤维结肠镜检查
