aname,bname
乳糜胸,疾病百科
乳糜胸,外科
乳糜胸,心胸外科
胸骨裂,疾病百科
胸骨裂,外科
胸骨裂,心胸外科
腕管综合征,疾病百科
腕管综合征,外科
腕管综合征,骨外科
脑疝,疾病百科
脑疝,外科
脑疝,神经外科
鳞状细胞癌,疾病百科
鳞状细胞癌,肿瘤科
鳞状细胞癌,肿瘤外科
颈椎骨折脱位,疾病百科
颈椎骨折脱位,外科
颈椎骨折脱位,骨外科
颈肩痛,疾病百科
颈肩痛,外科
颈肩痛,骨外科
脊柱裂,疾病百科
脊柱裂,外科
脊柱裂,骨外科
口唇疱疹,疾病百科
口唇疱疹,皮肤性病科
口唇疱疹,皮肤科
脑脊液鼻漏,疾病百科
脑脊液鼻漏,五官科
脑脊液鼻漏,耳鼻喉科
嗅觉障碍,疾病百科
嗅觉障碍,五官科
嗅觉障碍,耳鼻喉科
偏瘫,疾病百科
偏瘫,内科
偏瘫,神经内科
胆囊结石,疾病百科
胆囊结石,外科
胆囊结石,肝胆外科
胆总管结石,疾病百科
胆总管结石,外科
胆总管结石,肝胆外科
前列腺钙化,疾病百科
前列腺钙化,男科
精索静脉曲张,疾病百科
精索静脉曲张,男科
尿道结石,疾病百科
尿道结石,外科
尿道结石,泌尿外科
尿瘘,疾病百科
尿瘘,外科
尿瘘,泌尿外科
遗精,疾病百科
遗精,男科
大便失禁,疾病百科
大便失禁,外科
大便失禁,肛肠科
老年大便失禁,疾病百科
老年大便失禁,内科
老年大便失禁,消化内科
盲肠阿米巴肉芽肿,疾病百科
盲肠阿米巴肉芽肿,外科
盲肠阿米巴肉芽肿,普外科
痔核,疾病百科
痔核,外科
痔核,普外科
扁平足,疾病百科
扁平足,外科
扁平足,骨外科
耳硬化症,疾病百科
耳硬化症,五官科
耳硬化症,耳鼻喉科
肘关节脱位,疾病百科
肘关节脱位,外科
肘关节脱位,骨外科
肢骨纹状肥大,疾病百科
肢骨纹状肥大,外科
肢骨纹状肥大,骨外科
粉碎性骨折,疾病百科
粉碎性骨折,外科
粉碎性骨折,骨外科
撕脱骨折,疾病百科
撕脱骨折,外科
撕脱骨折,骨外科
骨囊肿,疾病百科
骨囊肿,外科
骨囊肿,骨外科
髋关节脱位,疾病百科
髋关节脱位,外科
髋关节脱位,骨外科
斜视,疾病百科
斜视,五官科
斜视,眼科
传导性耳聋,疾病百科
传导性耳聋,五官科
传导性耳聋,耳鼻喉科
鸡眼,疾病百科
鸡眼,皮肤性病科
鸡眼,皮肤科
痉挛性斜颈,疾病百科
痉挛性斜颈,外科
痉挛性斜颈,骨外科
前列腺结石,疾病百科
前列腺结石,外科
前列腺结石,泌尿外科
足外翻,疾病百科
足外翻,外科
足外翻,骨外科
脊髓半切综合征,疾病百科
脊髓半切综合征,外科
脊髓半切综合征,骨外科
锥体外系损害,疾病百科
锥体外系损害,外科
锥体外系损害,骨外科
书写痉挛,疾病百科
书写痉挛,内科
书写痉挛,神经内科
脊髓性肌萎缩,疾病百科
脊髓性肌萎缩,内科
脊髓性肌萎缩,神经内科
棘突压痛,疾病百科
棘突压痛,外科
棘突压痛,骨外科
指节垫,疾病百科
指节垫,皮肤性病科
指节垫,皮肤科
发育性骨盆异常,疾病百科
发育性骨盆异常,妇产科
发育性骨盆异常,产科
病理性神经损伤,疾病百科
病理性神经损伤,内科
病理性神经损伤,神经内科
肘管综合征,疾病百科
肘管综合征,外科
肘管综合征,骨外科
气压伤,疾病百科
气压伤,外科
气压伤,普外科
鼻中隔穿孔,疾病百科
鼻中隔穿孔,五官科
鼻中隔穿孔,耳鼻喉科
头皮血肿,疾病百科
头皮血肿,外科
头皮血肿,神经外科
头皮撕脱伤,疾病百科
头皮撕脱伤,外科
头皮撕脱伤,神经外科
烫伤,疾病百科
烫伤,皮肤性病科
烫伤,皮肤科
丹毒,疾病百科
丹毒,皮肤性病科
丹毒,皮肤科
淀粉样变性,疾病百科
淀粉样变性,内科
淀粉样变性,血液科
甲状腺结节,疾病百科
甲状腺结节,外科
甲状腺结节,普外科
绝经,疾病百科
绝经,妇产科
绝经,妇科
子痫,疾病百科
子痫,妇产科
子痫,产科
视网膜脱离,疾病百科
视网膜脱离,五官科
视网膜脱离,眼科
外阴痛,疾病百科
外阴痛,妇产科
外阴痛,妇科
外阴溃疡,疾病百科
外阴溃疡,妇产科
外阴溃疡,妇科
月经量少,疾病百科
月经量少,妇产科
月经量少,妇科
阴道横隔,疾病百科
阴道横隔,妇产科
阴道横隔,妇科
先天性无阴道,疾病百科
先天性无阴道,妇产科
先天性无阴道,妇科
慢性盆腔疼痛,疾病百科
慢性盆腔疼痛,妇产科
慢性盆腔疼痛,妇科
急性宫颈炎,疾病百科
急性宫颈炎,妇产科
急性宫颈炎,妇科
性交疼痛,疾病百科
性交疼痛,其他科室
性交疼痛,其他综合
原发性痛经,疾病百科
原发性痛经,妇产科
原发性痛经,妇科
输卵管粘连,疾病百科
输卵管粘连,妇产科
输卵管粘连,妇科
卵巢囊肿,疾病百科
卵巢囊肿,妇产科
卵巢囊肿,妇科
卵泡囊肿,疾病百科
卵泡囊肿,妇产科
卵泡囊肿,妇科
外阴瘙痒,疾病百科
外阴瘙痒,妇产科
外阴瘙痒,妇科
子宫内膜异位,疾病百科
子宫内膜异位,妇产科
子宫内膜异位,妇科
月经不调,疾病百科
月经不调,妇产科
月经不调,妇科
胎儿窘迫,疾病百科
胎儿窘迫,妇产科
胎儿窘迫,产科
胎膜早破,疾病百科
胎膜早破,妇产科
胎膜早破,产科
低颅压综合征,疾病百科
低颅压综合征,内科
低颅压综合征,神经内科
脑血管痉挛,疾病百科
脑血管痉挛,内科
脑血管痉挛,神经内科
品行障碍,疾病百科
品行障碍,精神科
抽动障碍,疾病百科
抽动障碍,精神科
孤独症,疾病百科
孤独症,精神科
遗传性肥胖,疾病百科
遗传性肥胖,内科
遗传性肥胖,遗传病科
牙列拥挤,疾病百科
牙列拥挤,五官科
牙列拥挤,口腔科
先天性无虹膜,疾病百科
先天性无虹膜,五官科
先天性无虹膜,眼科
近视,疾病百科
近视,五官科
近视,眼科
霰粒肿,疾病百科
霰粒肿,五官科
霰粒肿,眼科
眼睑闭合不全,疾病百科
眼睑闭合不全,五官科
眼睑闭合不全,眼科
睑外翻,疾病百科
睑外翻,五官科
睑外翻,眼科
视网膜动脉阻塞,疾病百科
视网膜动脉阻塞,五官科
视网膜动脉阻塞,眼科
会厌炎,疾病百科
会厌炎,五官科
会厌炎,耳鼻喉科
增殖体肥大,疾病百科
增殖体肥大,外科
增殖体肥大,普外科
神经性耳鸣,疾病百科
神经性耳鸣,内科
神经性耳鸣,神经内科
咽异感症,疾病百科
咽异感症,五官科
咽异感症,耳鼻喉科
口臭,疾病百科
口臭,五官科
口臭,口腔科
化脓性腮腺炎,疾病百科
化脓性腮腺炎,五官科
化脓性腮腺炎,口腔科
副耳,疾病百科
副耳,五官科
副耳,耳鼻喉科
药物中毒,疾病百科
药物中毒,急诊科
扁平苔癣,疾病百科
扁平苔癣,皮肤性病科
扁平苔癣,皮肤科
唇腭裂,疾病百科
唇腭裂,五官科
唇腭裂,口腔科
颌骨囊肿,疾病百科
颌骨囊肿,五官科
颌骨囊肿,口腔科
口腔黏膜白斑,疾病百科
口腔黏膜白斑,五官科
口腔黏膜白斑,口腔科
牙列稀疏,疾病百科
牙列稀疏,五官科
牙列稀疏,口腔科
性欲减退,疾病百科
性欲减退,心理科
输精管堵塞,疾病百科
输精管堵塞,男科
性欲亢进,疾病百科
性欲亢进,精神科
尿道下裂,疾病百科
尿道下裂,外科
尿道下裂,泌尿外科
疥疮,疾病百科
疥疮,皮肤性病科
疥疮,皮肤科
斑秃,疾病百科
斑秃,皮肤性病科
斑秃,皮肤科
颅骨骨折,疾病百科
颅骨骨折,外科
颅骨骨折,普外科
偏执状态,疾病百科
偏执状态,心理科
抗-HCVAg阳性,疾病百科
抗-HCVAg阳性,传染科
肝内胆管结石,疾病百科
肝内胆管结石,外科
肝内胆管结石,肝胆外科
晒伤,疾病百科
晒伤,皮肤性病科
晒伤,皮肤科
硬斑,疾病百科
硬斑,皮肤性病科
硬斑,皮肤科
类癌综合征,疾病百科
类癌综合征,肿瘤科
类癌综合征,肿瘤内科
结节性硬化,疾病百科
结节性硬化,外科
结节性硬化,普外科
脂肪瘤,疾病百科
脂肪瘤,外科
脂肪瘤,普外科
细菌性心内膜炎,疾病百科
细菌性心内膜炎,内科
细菌性心内膜炎,心内科
氨基酸尿症,疾病百科
氨基酸尿症,内科
氨基酸尿症,泌尿内科
鲜红斑痣,疾病百科
鲜红斑痣,皮肤性病科
鲜红斑痣,皮肤科
黏膜白斑,疾病百科
黏膜白斑,皮肤性病科
黏膜白斑,皮肤科
纵隔囊肿,疾病百科
纵隔囊肿,外科
纵隔囊肿,心胸外科
睑内翻,疾病百科
睑内翻,五官科
睑内翻,眼科
多形红斑样皮疹,疾病百科
多形红斑样皮疹,皮肤性病科
多形红斑样皮疹,皮肤科
传导性耳鸣,疾病百科
传导性耳鸣,五官科
传导性耳鸣,耳鼻喉科
胃痉挛,疾病百科
胃痉挛,内科
胃痉挛,消化内科
咽喉炎,疾病百科
咽喉炎,内科
咽喉炎,呼吸内科
拇外翻,疾病百科
拇外翻,外科
拇外翻,骨外科
中暑,疾病百科
中暑,急诊科
先天性少白头,疾病百科
先天性少白头,皮肤性病科
先天性少白头,皮肤科
血管性痴呆,疾病百科
血管性痴呆,内科
血管性痴呆,心内科
维生素D中毒,疾病百科
维生素D中毒,营养科
系统性血管炎,疾病百科
系统性血管炎,内科
系统性血管炎,风湿免疫科
延髓性麻痹,疾病百科
延髓性麻痹,内科
延髓性麻痹,神经内科
性早熟,疾病百科
性早熟,内科
性早熟,内分泌科
小儿湿疹,疾病百科
小儿湿疹,皮肤性病科
小儿湿疹,皮肤科
先兆流产,疾病百科
先兆流产,妇产科
先兆流产,产科
足癣,疾病百科
足癣,皮肤性病科
足癣,皮肤科
肺动静脉瘘,疾病百科
肺动静脉瘘,外科
肺动静脉瘘,心胸外科
膀胱结石,疾病百科
膀胱结石,外科
膀胱结石,泌尿外科
直肠脱垂,疾病百科
直肠脱垂,外科
直肠脱垂,肛肠科
倒睫,疾病百科
倒睫,五官科
倒睫,眼科
神经性耳聋,疾病百科
神经性耳聋,内科
神经性耳聋,神经内科
风湿性血管炎,疾病百科
风湿性血管炎,内科
风湿性血管炎,风湿免疫科
手足皲裂,疾病百科
手足皲裂,皮肤性病科
手足皲裂,皮肤科
糙皮病样皮疹,疾病百科
糙皮病样皮疹,皮肤性病科
糙皮病样皮疹,皮肤科
新生儿呕血和便血,疾病百科
新生儿呕血和便血,儿科
新生儿呕血和便血,儿科综合
小儿便秘,疾病百科
小儿便秘,儿科
小儿便秘,小儿内科
完全流产,疾病百科
完全流产,妇产科
完全流产,产科
重症肌无力,疾病百科
重症肌无力,内科
重症肌无力,神经内科
肺动脉闭锁,疾病百科
肺动脉闭锁,内科
肺动脉闭锁,心内科
冲动型人格障碍,疾病百科
冲动型人格障碍,精神科
表演型人格障碍,疾病百科
表演型人格障碍,精神科
丧偶后适应性障碍,疾病百科
丧偶后适应性障碍,精神科
急性呼吸窘迫综合征,疾病百科
急性呼吸窘迫综合征,内科
急性呼吸窘迫综合征,呼吸内科
疑病症,疾病百科
疑病症,心理科
肾性糖尿,疾病百科
肾性糖尿,内科
肾性糖尿,内分泌科
肝大,疾病百科
肝大,肝病
乳糜尿,疾病百科
乳糜尿,外科
乳糜尿,泌尿外科
冠状动脉供血不足,疾病百科
冠状动脉供血不足,内科
冠状动脉供血不足,心内科
肾动脉狭窄,疾病百科
肾动脉狭窄,外科
肾动脉狭窄,泌尿外科
骨裂,疾病百科
骨裂,外科
骨裂,骨外科
舌咽神经损伤,疾病百科
舌咽神经损伤,内科
舌咽神经损伤,神经内科
灼痛,疾病百科
灼痛,皮肤性病科
灼痛,皮肤科
脊髓缺血,疾病百科
脊髓缺血,内科
脊髓缺血,神经内科
女性性早熟,疾病百科
女性性早熟,内科
女性性早熟,内分泌科
血管炎,疾病百科
血管炎,外科
血管炎,普外科
粪类圆线虫病,疾病百科
粪类圆线虫病,外科
粪类圆线虫病,肛肠科
产褥感染,疾病百科
产褥感染,妇产科
产褥感染,产科
鼻前庭囊肿,疾病百科
鼻前庭囊肿,五官科
内分泌功能亢进,疾病百科
内分泌功能亢进,内科
内分泌功能亢进,内分泌科
腕枪刺状畸形,疾病百科
腕枪刺状畸形,外科
腕枪刺状畸形,骨外科
肝淀粉样变性,疾病百科
肝淀粉样变性,肝病
紫癜,疾病百科
紫癜,皮肤性病科
紫癜,皮肤科
信息成瘾,疾病百科
信息成瘾,心理科
龟头珍珠疹,疾病百科
龟头珍珠疹,男科
珍珠丘疹,疾病百科
珍珠丘疹,男科
枕大神经痛,疾病百科
枕大神经痛,内科
枕大神经痛,神经内科
小儿咳嗽,疾病百科
小儿咳嗽,儿科
小儿咳嗽,儿科综合
甲周炎,疾病百科
甲周炎,外科
甲周炎,感染科
脚气,疾病百科
脚气,皮肤性病科
脚气,皮肤科
泪道阻塞,疾病百科
泪道阻塞,五官科
泪道阻塞,眼科
继发性痛经,疾病百科
继发性痛经,妇产科
继发性痛经,妇科
妊娠痒疹,疾病百科
妊娠痒疹,妇产科
妊娠痒疹,产科
妊娠纹,疾病百科
妊娠纹,皮肤性病科
妊娠纹,皮肤科
早搏,疾病百科
早搏,内科
