aname,bname
心绞痛,胸闷憋气
心绞痛,心血管堵塞
心绞痛,烦躁不安
心绞痛,心动过速
心绞痛,紧张
心绞痛,心脑供血不足
心绞痛,胸背痛
精神障碍,驻站医
精神障碍,抑郁
精神障碍,幻觉
精神障碍,躁狂
精神障碍,职业神经症
精神障碍,行为及情绪异常
精神障碍,偏执状态
精神障碍,喜怒无常
精神障碍,偏执性妄想
精神障碍,认知功能障碍
精神障碍,赔偿神经症
动脉导管未闭,紫绀
动脉导管未闭,收缩期杂音
动脉导管未闭,杵状指（趾）
动脉导管未闭,股动脉枪击音
动脉导管未闭,心血管造影见双球征
动脉导管未闭,升主动脉根部环状缩窄
神经性呕吐,恶心
神经性呕吐,紧张
上睑下垂,眼睑下垂
上睑下垂,眼皮下垂
上睑下垂,睑缘呈横“S”形下垂
上睑下垂,器质性弱视
上睑下垂,眼睑松弛
上睑下垂,上眼睑增厚松弛
眼球内陷,闫鹏辉
眼球内陷,小眼球
眼球内陷,冬雪峰
眼球内陷,缩瞳、眼睑下垂...
共济失调,感觉障碍
共济失调,眩晕
共济失调,肌张力减低
共济失调,腱反射亢进
共济失调,感觉性共济失调
共济失调,小脑性共济失调
共济失调,大写症
共济失调,前庭性共济失调
心肌梗死,胸痛
心肌梗死,心律失常
心肌梗死,心脏左室舒张功能减退
心肌梗死,胸痛伴胸闷、心悸
心肌梗死,心肌坏死广泛
心肌梗死,心源性胸痛
心肌梗死,肢端发绀
心肌梗死,胸骨后疼痛
心肌梗死,上腹部疼痛
心肌梗死,胸闷气短
三尖瓣狭窄,呼吸困难
三尖瓣狭窄,恶心
三尖瓣狭窄,发绀
三尖瓣狭窄,疲乏
三尖瓣狭窄,下肢水肿
三尖瓣狭窄,颈静脉怒张
三尖瓣狭窄,胃肠道淤血
硬肿症,低热
硬肿症,胸腔积液
硬肿症,心包积液
硬肿症,瘀斑
色素斑,硬化
色素斑,创伤
色素斑,鳞屑
色素斑,雀斑
色素斑,妊娠斑
色素斑,黑斑
色素斑,日晒斑
色素斑,眼角长斑
色素斑,色素斑
耳聋,听力减退
耳聋,音调韵律的异常
耳聋,听力下降
耳聋,听力缺陷
耳聋,鼓膜瘢痕化
耳聋,类偏狂
耳聋,中枢性耳聋
耳聋,波动性听力减退
耳聋,病理性听觉适应
耳聋,耳聋
肌肉萎缩,骨间肌和鱼际肌萎缩
肌肉萎缩,肩胛带肌肉萎缩
肌肉萎缩,大腿肌肉萎缩
肌肉萎缩,臀中肌损伤
肌肉萎缩,肌肉疼痛
肌肉萎缩,手肌肉萎缩
肌肉萎缩,手臂肌肉拉伤
肌肉萎缩,小腿肌肉萎缩
肌肉萎缩,面肌萎缩
肌肉萎缩,重症肌无力
下颌后缩,齿龈肿胀
下颌后缩,咬肌肥大
下颌后缩,牙疼
下颌后缩,下颌后缩
胎盘早剥,腹痛
胎盘早剥,血压下降
胎盘早剥,阴道出血
胎盘早剥,子宫出血
胎盘早剥,子宫硬如板状
胎盘早剥,妊娠时持续性腹...
胎盘早剥,凝血功能障碍
胎盘早剥,胎盘母体面上有...
胎盘早剥,胎动改变
胎盘早剥,子宫压痛
产后出血,乏力
产后出血,恶心
产后出血,烦躁不安
产后出血,出冷汗
产后出血,出血倾向
产后出血,产后腹痛
产后出血,产后发热
产后出血,产道裂伤
产后出血,产后全身酸痛
便秘,肠麻痹
便秘,便鲜红血呈点滴...
便秘,便秘伴腹部包块
便秘,粪便量少
便秘,继发性便秘
便秘,泻药性便秘
便秘,大便干结呈算盘珠状
便秘,大便习惯改变
便秘,肠易激综合征
便秘,津亏血燥
妊高征,恶心
妊高征,头晕
妊高征,昏迷
妊高征,蛋白尿
妊高征,血压高
妊高征,上腹不适
妊高征,小腿水肿
妊高征,踝部凹陷性水肿
妊高征,先兆子痫
妊高征,子痫症状
菌血症,恶心
菌血症,腹泻
